"","naive B cells","memory B cells","Plasma cells","CD8 T cells","naive CD4 T cells","resting CD4 memory T cells","activated CD4 memory T cells","follicular helper T cells","regulatory T cells (Tregs)","gammadelta T cells","resting NK cells","activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","resting dendritic cells","activated dendritic cells","resting Mast cells","activated mast cells","Eosinophils","Neutrophils"
"GSM416546",0,0,0,0,0,0.257024939961956,0,0.132988964515498,0,0.00863162508057415,0,0.151207437177908,0,0,0.0157057820732646,0.0946038470583649,0.0242401937633716,0.0592174166857003,0,0.218899412225387,0,0.0374803814579746
"GSM416547",0.187963664453042,0,0.0344407085092377,0,0.276700536291321,0,0,0.136209971985167,0,0,0.0226947023188544,0,0,0.0329239366159622,0.00259637718271255,0,0,0.0631497009827264,0,0.216900603104446,0.0264197985565304,0
"GSM416548",0,0,0,0.140791627492372,0,0,0,0.0372681708814349,0,0,0,0,0.250507613538659,0.0864325356383525,0.0424327437888196,0.143725789327793,0.10217885141263,0,0.164434051539209,0.0322286163807311,0,0
"GSM416549",0.141847869549507,0,0.343632643788825,0.265643348380871,0.0390284553568774,0,0.0143424864003297,0,0.0152071273473348,0,0,0.074092962417814,0.00320637292294291,0,0.00834781261649559,0.0828817221807756,0,0.0117691990382273,0,0,0,0
"GSM416550",0.0492925884585949,0,0.019699864780518,0,0.355955146754029,0,0,0,0.00442229839601151,0.00075565444282579,0.0721015143049275,0,0,0.122541360979635,0.00172857015273012,0,0,0,0,0.19712715615026,0,0.176375845580468
"GSM416551",0,0.0131788743404302,0,0,0.299652777946278,0,0,0,0.0242478008984409,0.0459526763464291,0,0,0.0323955684473312,0.202601635831722,0.00667429932053735,0,0,0,0,0.139937909832622,0,0.23535845703621
"GSM416552",0.313651762424642,0,0.0976958244581376,0.127280113364244,0,0.289898418359696,0,0,0.00202617112107917,0,0,0.0200152262572002,0,0,0,0.0439144220532065,0,0.00889443651279609,0.0966236254489983,0,0,0
"GSM416553",0.00224582519181964,0.196903304782978,0.12933894027927,0,0.254818507955498,0,0,0,0,0,0,0,0.00608641174143153,0.0552425967216562,0,0.0733170404261576,0,0.0807208118674105,0,0.0841703384016065,0,0.117156222632172
"GSM416554",0,0.0500605980544258,0,0.0347546981623407,0.0976332685809672,0,0.0627111217300759,0,0,0,0.208083862411408,0,0,0.244360836872745,0.00313279134137063,0,0,0,0,0.065108001557389,0,0.234154821289278
"GSM416555",0,0.190152774391574,0,0,0.0265089663713781,0,0,0.132867538188972,0,0,0.0261581090580651,0,0.000323532801382089,0.103861937768578,0,0,0.0400945871674533,0.102137592880589,0,0.269708157363211,0,0.108186804008798
"GSM416556",0,0,0.095588417771953,0,0.0677104221070138,0.0393663663228785,0,0.168554562877731,0,0.0530059507744159,0.0261036386372128,0.083827122670472,0,0,0.0176104805113739,0.0522421908090882,0,0.0873227760469227,0,0.00110772142000573,0.238644215946894,0.0689161341040384
"GSM416557",0,0.0357218835242442,0,0.0665475024249311,0,0,0.0291487290644208,0.0876680099584036,0,0.258373736735643,0,0.0503245561964923,0,0.100883081255061,0,0.0727895188732961,0,0,0.0572613152898974,0.0382281327985324,0.203053533879078,0
"GSM416558",0,0,0,0.177400402352844,0,0,0,0,0.0451469734486001,0,0,0,0.0593234786411367,0.215955088355828,0,0.14310366830009,0,0,0,0.168462729424962,0.0284672072946016,0.162140452181938
"GSM416559",0,0,0,0,0.192492938487456,0.0453643673811625,0.0648489715443793,0,0,0.072924583431595,0.109863906713238,0.0619688602708049,0.099996998409772,0.140606255236659,0,0.100910178204431,0,0.0133107351127562,0,0.0264279106424163,0.0389502664817652,0.0323340280835642
"GSM416560",0,0.0372232492761879,0,0,0,0,0,0,0,0,0.0804918463006668,0.00123909607061832,0.0874134922606003,0.117036248212253,0,0,0,0,0,0.308899813003379,0,0.367696254876295
"GSM416561",0,0,0.0739783889267899,0,0.0790711957315978,0,0.0128009331153557,0,0.0784039247010687,0,0.10654257953405,0.189679238326062,0,0,0.063570127411818,0,0.104416269925888,0.049795334839979,0,0.0386343054445641,0,0.203107702042826
"GSM416562",0,0.0310172248522708,0.0045146741190259,0,0,0.0785886870829719,0,0.0138684078031096,0,0.0693344164851668,0,0.138676391532131,0.197967142128111,0.0933003974713398,0.0137513251273396,0.10537483716427,0.0413527718092776,0.0286815341906611,0.0562342190606653,0,0.0889357610399287,0.0384022101337309
"GSM416563",0.0406125713021873,0,0.0180049473402626,0,0,0,0.134336459909883,0.113996922506992,0,0.229868111656116,0.00600715150208179,0,0,0,0.0249808262284066,0.0148705929899184,0.108323022397418,0,0.0793847485946387,0.00726556585310193,0.0204061364044561,0.201942943314537
"GSM416564",0,0,0.137798138023531,0,0.0554642624800233,0,0,0,0,0,0.0387093209859472,0,0,0.375584450152526,0.022523124063829,0,0,0,0,0.211668352847126,0,0.158252351447018
"GSM416565",0.132398086185047,0,0.112973254008266,0.0126875229504819,0,0.034289150729708,0.0536030515721396,0.0304054384222882,0,0.292689722661829,0,0.0722286305568187,0,0.126395404171818,0,0.00677011633874692,0,0,0.0949444208648126,0,0.0124890859525058,0.018126115585539
"GSM416566",0,0,0,0,0,0,0,0,0,0.150832024960037,0.109974977210958,0,0.226881110004122,0.061007462825255,0.00888298786293902,0.152777168752478,0.0437133689512666,0.0138707011793597,0.218307183833616,0.0137530144199693,0,0
