"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"CD36",2.94,2.811,3.1851,3.2161,3.0657,2.528,3.1506,2.9895,2.6265,3.345,2.5109,2.9814,2.0544,1.1141,2.4774,2.733,3.1228,3.3599,3.0666,2.9446,3.0914,3.3012,2.8368,3.63364,3.45533,3.12984,3.68837,2.98277,2.35136,3.4573,3.25035,3.67767,4.49566,3.12676,3.6479,3.42454,4.35278,3.8012,3.79325,3.64792,3.06045,2.83402,3.73198,3.21666,2.91307,3.24735,3.8324,3.9743,3.7397,3.5637,3.3041,4.1326,3.179,2.8065,4.2305,3.2111,2.2218,3.0632,3.5102,3.1563,3.272,3.8605,2.569,3.5889,2.8264,2.977,3.589,4.1448,3.495,3.98178,3.78572,4.16046,3.86733,2.16765,3.7694,3.34214,4.67656,3.87651,3.38916,3.76384,3.07272,4.14545,3.64413,4.64547,3.93682,4.10245,4.33433,4.1177,2.88843,4.48075,4.07348,4.11477
"FAM160B1",2.6952,2.6689,2.4175,2.8286,3.0386,2.825,3.0627,2.5895,2.295,2.6839,2.7347,3.1134,2.3004,2.3823,3.1536,3.0371,3.1618,2.8965,2.3774,2.9334,2.7863,3.3469,3.2009,3.62042,3.07236,3.28045,3.89565,3.42518,3.63353,3.45563,3.27346,3.40575,4.22222,2.88987,3.76191,3.03576,4.07136,3.82095,3.83369,3.60045,3.26664,3.06616,3.77955,3.22828,2.9871,3.16612,3.5361,4.1371,3.6302,3.5477,3.1411,4.1084,3.9799,3.4874,4.1624,3.4653,3.5586,3.2785,3.6482,3.2555,3.85,3.7483,3.4591,3.7232,3.899,3.0295,3.6511,3.2004,3.4985,3.84934,3.86503,4.0518,3.70291,3.80954,3.36807,3.2821,4.39041,3.63489,3.02045,3.60553,3.36289,3.94806,3.64973,4.35365,3.26958,4.05973,3.716,3.3461,2.06213,3.94241,3.55402,3.7291
"IL13RA1",3.6919,3.3073,3.5689,4.0348,2.3592,3.5312,3.1414,2.3983,2.597,3.2808,3.0054,3.2786,2.8376,2.1788,3.053,3.2103,3.0779,3.4424,3.3081,3.0744,3.5121,3.4401,2.7835,3.04624,2.83629,3.58537,3.52102,3.5106,3.09726,3.20054,3.83502,3.69044,3.5939,3.2507,3.32334,3.38164,3.52035,3.37855,2.93979,3.60411,3.18375,3.51404,3.02537,3.67878,2.52521,3.63366,3.3513,4.1754,3.057,3.4684,3.0949,4.1859,3.6115,3.5765,3.3014,2.9649,3.5449,3.2539,3.4704,3.1357,3.7895,3.9287,4.0044,4.4306,3.525,3.5136,3.6952,3.4181,2.5593,3.08667,3.77451,3.44177,3.04075,4.31087,3.68529,2.96526,4.07804,3.11499,2.69578,3.1835,3.24257,4.159,3.51564,3.4473,3.31549,4.20271,4.1934,4.38737,3.10232,3.61677,3.24822,2.98072
"TPR",3.9441,3.7459,3.75,3.8641,3.7331,3.3702,3.2671,3.1568,3.4227,3.642,3.2112,3.9461,3.5286,3.2281,3.453,3.197,2.8066,3.49,3.3421,3.2562,3.6025,3.3896,2.9247,3.23444,2.58734,3.43703,3.53129,3.47804,3.41991,3.32411,3.24802,3.29379,3.13583,3.20239,3.00369,3.07444,3.37344,3.61503,3.3833,3.39744,3.47989,3.33235,3.07727,3.11144,3.19799,3.06438,3.4232,3.4575,3.2548,3.5477,3.2509,3.6575,3.532,3.3289,4.0431,3.3734,3.6637,3.3223,3.4005,3.286,3.5066,3.5452,3.4543,3.3324,3.2588,2.6622,3.1136,2.8832,2.9221,3.54239,3.47192,4.00636,2.64474,3.57948,3.22556,3.21303,3.80681,3.73052,2.75202,3.69019,3.32692,3.80177,3.51318,3.69879,3.48954,3.66014,3.27319,3.95616,2.99199,3.2874,3.29693,3.37695
"MTMR10",3.9269,3.4655,3.5393,3.556,3.2959,3.1208,3.1672,3.0553,2.7407,3.3073,2.8974,3.5185,2.6968,2.6589,3.3683,3.0605,3.1965,3.3661,3.0426,3.201,3.2881,3.5448,3.0106,3.19634,2.94688,3.21069,3.82763,3.77308,3.14222,3.51152,3.52715,3.61875,3.67539,3.11114,3.38514,2.58779,3.71363,3.60774,3.46228,3.52264,3.32315,3.14837,3.35414,3.6094,2.63238,3.01883,3.3158,4.019,3.341,3.2357,3.0293,3.9235,3.8158,3.7101,3.8628,3.4103,3.4926,3.0416,3.5812,3.2953,3.8424,3.6729,3.3206,3.8989,3.5904,2.6882,3.3908,3.1697,3.1055,3.78714,3.52641,3.76705,3.30427,3.6211,3.17037,3.14657,3.78625,3.78813,2.17662,3.5086,3.31535,3.716,3.42053,4.27123,2.92927,3.87988,3.92496,3.70151,2.39325,3.97168,3.44909,3.56008
"CNOT6L",3.2358,3.2121,3.2104,3.1401,3.3736,2.9492,2.9953,2.9471,3.0737,3.4361,3.2032,3.2112,2.7589,3.036,3.184,3.0062,3.1524,3.2962,2.9322,3.0835,3.0779,2.7593,3.1112,3.54934,3.52153,3.46126,3.57946,3.75836,3.81049,3.69308,3.63278,3.12101,3.75362,3.03043,3.61915,3.62254,3.52213,4.00728,3.54514,3.77838,3.59618,3.56353,2.94136,3.03148,3.43679,3.88623,3.6447,3.4121,3.5129,3.4892,3.7374,3.3894,3.6375,3.0307,4.0115,3.5387,3.6069,3.1356,3.6511,3.4449,3.8472,3.2283,3.064,3.4325,3.7347,3.024,2.842,2.7649,3.7499,3.82952,3.71886,3.77516,3.96866,3.6708,2.90449,3.459,3.53641,3.63737,2.87207,3.58982,3.42488,3.41487,3.30385,3.9882,3.16572,3.21215,3.52388,3.05117,2.61159,3.17534,3.31123,3.79653
"TRIM22",3.4158,3.1639,3.3505,3.487,3.4956,2.866,3.5266,3.0355,3.0858,3.715,2.9957,3.6705,2.7634,3.0624,2.7102,3.1603,2.9972,3.3823,2.7642,3.2404,3.3962,3.0256,3.0079,3.73116,3.19819,3.42211,3.59982,3.18463,3.85802,3.20653,3.44405,3.14567,3.70832,2.92363,3.46272,2.82776,3.7642,3.67282,3.6391,3.53867,3.38641,3.25803,3.31308,3.318,3.12706,2.60779,3.5435,3.6901,3.5951,2.7032,3.3312,3.6337,3.5799,3.4206,3.9024,3.5368,3.7578,3.077,3.448,3.4543,3.5707,3.5741,3.063,3.4855,3.8628,3.0893,3.3069,3.4648,3.1523,3.99177,4.28648,4.17463,3.71209,4.54058,2.76865,2.97363,3.52309,3.46481,3.27316,3.56774,3.10988,4.12173,3.50022,3.79633,2.99631,3.4936,3.151,3.36927,2.3589,3.59647,3.46942,3.52612
"MGAT1",3.1651,2.8995,3.2426,3.6785,2.8372,3.2178,3.2109,2.7648,3.095,2.9019,3.135,2.7277,2.9174,2.6857,3.3342,3.3843,3.1721,3.2549,3.3003,3.3251,3.3616,3.3379,3.1124,3.07129,3.1878,3.48594,3.82166,3.60228,3.1084,3.46482,3.76011,3.67942,3.67769,3.8048,3.10222,3.60865,3.4885,3.159,3.00581,3.43902,3.3959,3.65436,3.74301,3.30379,3.12044,3.73076,3.2614,3.4996,3.1555,3.9037,3.4164,4.0053,3.3545,2.6522,2.901,3.1798,3.3275,3.352,3.6504,3.4246,3.542,3.8304,3.8604,3.6695,3.4252,3.4256,3.603,3.2278,3.2504,3.41642,3.36236,3.22321,2.97479,3.44797,3.7909,3.15998,3.79419,3.21571,3.3636,3.32796,3.27061,3.55008,3.65698,3.41809,3.88962,3.61659,3.83982,3.95616,3.5722,3.81222,3.50199,3.07914
"VDAC2",3.3723,3.0932,3.3218,3.3039,3.1999,2.961,2.7169,3.0039,3.0317,3.1952,2.8567,3.0203,3.0169,2.6956,3.062,2.8314,3.2718,3.0797,3.2203,2.9937,3.3581,3.0597,2.9839,3.66831,3.40809,3.47067,3.74997,3.65885,3.55767,3.62019,3.36343,3.36432,4.08891,3.34628,3.36868,3.89332,3.3787,3.67902,3.13383,3.43834,3.23451,3.31271,3.45194,3.27159,3.2037,3.74444,3.5361,3.59,3.2333,3.9115,3.3016,3.5573,3.0986,3.1463,3.6449,3.2925,3.6217,2.9689,3.4031,3.0322,3.7235,3.3022,3.4149,3.3644,3.3423,3.4891,3.3246,3.4311,3.3927,3.63558,3.57892,3.73414,3.53736,3.09097,3.42733,3.22839,3.89809,3.45991,3.09136,3.48797,3.21134,3.91504,3.46887,3.92571,3.52588,3.56763,3.38348,3.99393,3.26437,3.71051,3.57787,3.7056
"ZFAS1",2.8975,2.696,2.6824,3.2547,3.5747,2.6216,2.8184,1.9669,2.101,2.727,2.4468,2.9771,2.5271,2.328,3.3139,2.6217,2.9217,2.8752,2.7297,3.1164,3.0074,3.0256,2.9214,3.15211,3.60058,3.74898,3.69164,3.77633,3.16017,3.84156,3.84816,3.63025,3.93146,3.05349,3.41542,2.68215,3.71155,4.04255,3.67376,3.55262,3.23148,2.80319,3.53087,3.32883,2.89272,3.99003,3.3318,4.2207,3.5252,3.7467,2.9113,3.809,3.4601,3.7504,4.061,3.228,3.336,3.1127,3.6099,3.1983,3.1863,3.7185,3.3119,3.9389,3.1963,3.6201,3.5555,3.6124,3.3344,4.1406,3.34881,4.33082,3.75645,4.19066,3.70742,3.37412,4.05574,3.85211,3.18382,3.1713,3.11902,4.18574,3.08643,4.55443,3.03538,3.8807,4.39819,2.85442,2.97004,4.21008,3.68607,4.06907
"CNOT11",3.3751,2.9551,3.0162,3.2846,3.2402,3.1789,3.1537,3.2724,3.2894,3.3655,3.2083,3.3216,2.9214,3.2483,3.1704,3.2325,3.1098,3.2522,2.9722,3.455,3.2215,3.2558,3.1263,3.15211,3.26353,3.43353,3.48901,3.52033,3.51087,3.24097,3.47627,3.40575,3.68911,3.55149,3.58671,3.37527,3.73325,3.50163,3.37922,3.52843,3.21396,3.45128,3.29488,3.07459,3.19111,3.37007,3.2524,3.3061,3.4697,3.742,3.4676,3.5762,3.4068,3.0371,3.7931,3.3858,3.387,3.2074,3.6834,3.1872,3.4396,3.6642,3.2465,3.2964,3.6298,3.2198,3.3478,2.9587,3.4348,3.38708,3.44883,3.73497,3.68306,3.58242,3.46375,3.14185,3.79893,3.36112,3.6254,3.40758,3.47504,3.67884,3.32921,3.5347,3.42649,3.5159,3.48812,3.65355,3.25319,3.46904,3.23827,3.47365
"PPP3CA",3.4205,3.1046,3.1085,3.1614,2.7942,3.1013,3.0562,2.7173,2.6137,3.1522,2.6727,3.4575,2.3835,2.6968,3.098,3.0116,3.0709,3.3052,2.9844,3.162,3.02,3.3191,2.7099,3.30775,3.15519,3.18493,3.87333,3.44778,3.3371,3.18647,3.53768,3.56302,3.63463,2.87392,3.5774,3.15201,3.7945,3.55986,3.52512,3.61745,3.41336,3.17036,3.70133,3.64884,2.98776,3.36023,3.3573,4.0903,3.4592,3.4505,3.3279,3.9509,3.6433,3.4359,3.8471,3.3316,3.3423,3.2401,3.4663,3.3148,3.8759,3.9208,3.5383,3.7871,3.6048,3.1849,3.3121,3.1237,3.4487,3.49752,3.71827,3.57598,3.57375,3.65876,3.33081,3.25799,3.89366,3.54045,3.09689,3.67873,3.30059,3.73258,3.62321,3.91207,3.43551,4.09894,3.90783,3.72716,2.629,3.70624,3.12006,3.49684
"M6PR",3.3799,3.3188,3.1902,3.2816,3.0533,3.2924,2.9017,2.8982,3.4539,3.285,3.253,3.3301,3.0566,3.3655,3.2943,3.431,3.4319,3.3326,3.368,3.4047,3.5113,2.9372,3.2228,3.56936,3.56817,3.48847,3.76373,3.5145,3.44649,3.46731,3.30744,3.35341,3.82679,3.45088,3.22419,3.8115,3.52391,3.72016,3.29935,3.41004,3.30384,3.38568,3.1806,3.03941,3.26505,3.57363,3.6228,3.2734,3.2109,3.4756,3.5363,3.6627,3.2773,2.7779,3.6489,3.4172,3.3643,3.0588,3.5013,3.0868,3.4193,3.3337,3.062,3.0971,3.2284,3.1776,3.1936,3.2196,3.2913,3.49694,3.54435,3.92412,3.42949,3.21119,3.15813,3.41998,3.89956,3.6571,3.31524,3.48633,3.42034,3.9509,3.31235,3.69786,3.4765,3.00108,3.17574,3.56431,3.22021,3.57656,3.36705,3.51535
"KLF3",3.2479,3.2678,3.0333,3.167,3.1412,3.1078,3.3418,3.1303,2.9981,3.1829,2.935,3.3993,2.7433,2.9101,3.2884,3.2106,3.1098,3.3908,3.1158,3.3105,3.2942,3.4448,2.9735,3.47703,2.99752,3.2785,3.82643,3.65532,3.50245,3.39137,3.19576,3.25288,3.47491,2.99116,3.42445,2.82643,3.78513,3.6627,3.61688,3.54249,3.36999,3.30422,3.32943,3.27384,3.10405,2.82075,3.7009,4.1611,3.3811,3.1242,3.0293,3.9521,3.6943,3.3982,4.1373,3.3783,3.5927,3.2655,3.5062,3.4361,3.832,3.6422,3.2592,3.6905,3.3258,2.7537,3.2929,2.9439,3.5096,3.79761,3.76094,4.11772,3.65616,3.3385,2.84464,3.07194,3.76539,3.68199,2.31223,3.67538,3.35992,3.72928,3.47077,4.2548,3.28775,4.05973,3.68857,3.62012,1.91449,3.84478,3.28007,3.82648
"DAZAP1",3.4331,3.6121,3.565,3.6932,3.3466,3.1467,2.9671,3.2833,3.2445,3.4548,3.2424,3.2931,3.0853,3.4032,3.2148,3.1596,3.246,3.2389,3.5954,3.2571,3.3759,2.8351,3.2504,3.39487,3.4291,3.7532,3.60608,3.58199,3.46971,3.49693,2.99909,3.31494,3.92375,3.73927,3.39294,3.66117,3.2971,3.70354,3.1583,3.32535,3.37068,3.17813,3.12861,3.06943,3.39897,3.72847,3.7207,3.0261,3.2898,3.6757,3.3385,3.2531,2.8889,3.0226,3.514,3.3377,3.5255,3.2097,3.448,3.1327,3.3577,3.4945,3.2764,3.3235,3.3345,3.3837,3.1626,3.3856,3.2621,3.47634,3.53773,3.6581,3.29906,3.32333,3.03276,3.1228,3.71104,3.29969,3.13027,3.52521,3.0785,3.71766,3.21896,3.64161,3.45504,3.10418,3.66935,3.46202,3.23165,3.61156,3.61677,3.71033
"PPP2R5A",2.8137,3.4236,2.6262,2.8876,2.8848,2.8602,3.2476,2.6343,2.4503,2.7185,2.4389,3.0424,2.0102,2.5546,3.4461,2.9407,3.234,3.1931,3.0559,2.9682,2.5605,3.2683,3.0211,3.09485,3.184,3.516,3.96656,3.75589,3.19281,3.33508,3.37416,3.72471,4.08199,3.01597,3.59227,3.26058,3.67411,3.43547,3.50992,3.63545,3.17039,3.01934,3.71963,3.77776,3.21109,3.64667,3.5729,4.1139,3.4625,3.9879,3.452,4.0437,3.5399,3.2774,3.4718,2.9955,3.2642,3.438,3.5293,3.0452,3.6328,4.1449,3.9831,3.8248,3.867,3.3219,3.618,3.7669,3.2839,3.46264,3.33743,3.47502,3.34526,3.63345,3.73114,3.39582,3.89956,3.32997,3.08164,3.35219,3.24578,3.27248,3.85816,3.7366,3.68651,4.20206,3.75755,3.88825,2.73919,4.04017,3.53079,3.16714
"RREB1",3.4983,3.3404,3.2228,3.5824,3.0104,3.2403,3.0651,2.8445,3.2412,3.1913,2.9021,3.3738,3.0524,2.9948,3.2014,2.9614,2.706,3.1459,3.1023,3.1135,3.4282,3.2754,3.0892,3.74882,3.57978,3.4309,3.42592,3.70819,3.37218,2.944,3.49113,3.34462,3.33216,3.41826,3.7641,2.85677,3.73939,3.38614,3.48733,3.59984,3.50891,3.45704,3.23367,2.87178,3.40046,2.89757,3.8419,3.6173,3.3367,3.434,3.3657,3.8943,3.3675,2.4783,3.9267,3.5416,3.5264,3.3011,3.2553,3.3143,3.9478,3.2518,2.975,3.6275,3.6241,2.3553,3.1857,3.4405,3.3965,3.50626,3.76037,3.94656,3.76214,3.49141,3.57062,3.2252,3.665,3.85958,2.82624,3.57702,3.29128,3.67198,3.41921,3.38014,3.38927,3.91545,3.75117,3.79291,2.68317,3.40273,3.54699,3.87955
"IRF1",3.6083,3.3815,3.2705,3.8371,2.5449,3.5789,3.3981,3.2906,2.6709,3.5742,3.4621,3.3295,3.0292,2.6999,3.5222,3.316,3.4474,3.5606,2.9076,3.1691,3.3764,3.8822,3.0934,3.40861,2.72961,3.69599,3.39733,3.61232,2.90517,2.63916,3.86195,3.44875,3.94962,3.40466,2.78597,3.46106,3.02115,3.25957,3.09724,3.4156,3.38027,3.49798,2.77867,3.56061,3.12104,3.2106,3.5677,3.7244,3.514,3.3285,3.3474,3.7317,3.5093,3.1612,3.0757,3.1326,3.7144,3.0869,3.5277,3.4538,3.4987,3.9904,3.8705,3.666,3.602,3.1898,3.6196,3.4567,2.6439,3.48166,3.74781,3.75315,2.62128,4.07004,3.42262,3.44264,3.89218,3.24452,2.8992,3.45086,3.52351,3.41487,3.55439,3.14801,3.48412,3.60871,3.41267,3.99268,3.32766,3.45238,3.58672,2.17772
"TOR4A",3.1548,3.0623,3.0977,3.3738,2.8256,3.0939,2.9158,2.9368,2.9323,3.0003,3.2607,3.1386,3.3219,2.6135,3.3929,3.0105,2.6768,3.0324,3.5126,3.0281,3.4192,3.4589,3.074,3.60111,3.17255,3.40971,3.75561,3.85913,3.22216,3.23317,3.73203,3.6765,3.4828,2.74495,3.54018,2.87106,3.65583,3.35843,3.16306,3.3918,3.41869,3.46913,3.59221,3.38388,3.09732,3.82818,3.4393,3.6155,3.4247,3.711,3.376,3.6178,3.5268,2.6063,3.1821,3.7009,3.0547,3.1296,3.4151,3.2778,3.7946,3.8458,3.5547,3.7601,3.478,3.6784,3.6449,3.7992,2.3606,3.44699,3.59558,3.68676,3.18888,3.71884,3.61676,3.28271,3.67879,3.55827,3.2006,3.50266,3.37409,3.52175,3.38133,3.38827,3.63166,3.7144,3.93062,3.27833,3.4646,4.01425,3.80957,2.73906
"NDUFB1",3.2569,3.4537,3.1587,2.9463,4.1924,2.5963,2.5949,3.0569,2.5701,3.438,2.7858,3.1829,2.4016,2.3152,3.2369,2.5303,3.2644,3.1787,2.6406,2.96,2.9526,3.1514,2.8663,3.41202,3.77102,3.15871,3.90188,3.60685,3.12587,3.46398,3.7203,3.28616,4.09063,2.8862,3.69057,3.16998,3.86453,3.87254,4.06805,3.55452,2.73902,2.97185,3.16368,3.69812,3.085,3.44458,3.5403,4.2552,3.3722,3.6666,3.4279,3.8236,3.7083,3.3478,4.2944,3.3482,2.9253,2.6228,3.3041,2.991,3.1565,3.3217,2.7672,3.4147,3.1684,3.6111,3.1778,3.3499,3.6316,4.23612,3.5943,4.20497,4.30805,3.12366,3.55275,3.70062,3.48629,4.16535,3.34108,3.43734,3.05598,3.716,2.63966,4.35721,3.18389,3.34735,3.84154,2.65824,2.86064,4.23993,3.71414,4.21274
"PACSIN2",3.5419,3.464,3.2596,3.4354,2.9685,3.1459,3.2118,3.1459,2.8289,3.4051,2.8148,3.6079,2.8667,2.5464,3.4343,3.3743,3.1878,3.5906,2.879,2.9534,3.4679,3.68,2.7794,3.30958,2.50298,3.19116,3.21729,3.75672,2.96971,3.34416,4.02536,3.61936,3.1979,3.66493,3.288,2.74838,3.66177,3.08511,2.88429,2.99166,3.42995,3.31976,3.56578,3.41166,2.74472,3.50028,3.2249,3.6885,3.3331,3.8061,2.8513,4.1516,3.6375,3.6271,2.893,3.4214,3.4423,3.2561,3.7164,3.3666,3.5496,3.9623,4.0953,4.0676,3.622,3.6047,3.5965,3.1962,2.9454,3.44881,3.3898,3.22202,3.02296,3.79946,3.68791,2.70577,3.80681,3.00478,3.26214,3.33588,3.19348,3.73422,3.60947,3.36137,3.6718,4.07626,4.0764,3.99765,3.27283,3.62584,3.2042,3.07621
"TRIM25",3.3132,2.9039,3.0184,3.5699,2.6389,3.2617,3.1651,3.0764,2.4183,2.7785,2.8137,3.087,2.7046,2.2424,2.98,2.6278,2.6376,3.1453,2.5555,2.6441,3.1288,3.5477,2.3245,3.38535,2.96801,3.69891,3.0751,4.05384,3.23915,3.76111,3.78283,3.90139,3.47359,3.61044,3.44576,2.95271,3.50661,3.7565,2.61368,3.61986,3.28134,3.17503,2.99836,2.95523,2.29109,3.60645,3.4035,4.1635,3.4541,3.584,2.9886,4.097,3.4857,3.7777,3.1689,3.5886,3.5838,2.8107,4.0652,3.1321,3.4784,3.9581,3.098,3.8105,3.6241,3.1898,4.0623,3.6724,2.6988,3.5837,3.47816,3.81032,2.94064,4.25479,3.72093,3.23537,4.26798,3.8974,3.3716,3.47092,3.61184,4.4228,3.38737,3.8562,3.13284,3.75245,4.2469,4.47545,3.26331,4.16944,3.65277,3.01784
"UBE4B",3.7225,3.2611,3.3206,3.4759,2.7747,3.1471,3.2172,2.9041,2.859,2.9423,2.9042,3.411,2.7897,2.8573,3.0929,3.3195,2.7664,3.1056,3.2036,3.3383,3.1075,3.3836,2.7234,3.36788,2.88272,3.80349,3.49502,3.85836,3.15928,3.62839,3.63367,3.60287,2.76911,3.41147,3.42722,3.12842,3.48728,3.37569,3.31187,3.35968,3.65664,3.48551,3.68448,3.12144,3.055,3.42489,3.6585,3.3939,3.3398,3.6729,3.0243,3.976,3.5019,2.8538,3.5475,3.5173,3.7961,3.3276,3.754,3.3588,3.791,4.0523,3.7973,3.8017,3.617,3.0617,3.3375,3.5486,3.0793,3.39901,3.16697,3.57969,2.87449,3.71795,3.4729,2.94836,3.83481,3.3835,2.97242,3.45925,3.3366,3.24962,3.42511,3.50935,3.58177,3.87249,3.69714,4.05237,3.19817,3.39441,3.5759,3.12097
"ZDHHC18",3.8076,3.2457,3.4236,3.5238,2.923,3.3459,3.2611,2.8247,2.576,3.1126,3.3086,3.3651,3.2656,2.2862,3.728,3.3113,3.4868,3.4254,3.019,3.1591,3.6191,4.0917,3.1697,3.01739,2.82414,3.2168,3.30029,3.78442,2.52073,3.73096,4.03215,3.71906,3.35528,3.34983,3.04572,2.97813,3.15809,3.37283,2.398,3.33272,3.1814,3.44679,3.75878,3.45482,2.38954,3.95123,3.4082,3.7658,3.2353,3.6799,3.1832,4.0723,3.2009,3.3659,2.4681,3.3022,3.5021,3.1988,3.9222,3.1149,3.4961,4.1646,3.9236,4.0869,3.4341,3.495,3.6121,3.4967,2.7447,3.31133,3.26477,3.11616,2.90795,4.22873,3.87614,3.16995,3.66673,3.01437,3.47015,2.97461,3.48486,3.20517,3.45165,3.6171,3.79777,3.73173,3.78729,3.68622,3.59305,3.72747,3.29693,2.42577
"GSK3B",3.3888,3.1615,2.9741,3.0534,2.3507,2.9455,2.9711,2.5033,2.7206,3.0852,3.0615,3.3368,2.9041,2.944,3.0657,2.6207,2.4439,2.9794,3.045,3.0265,2.949,3.3237,2.5471,3.57774,3.14057,3.58537,3.87275,3.88345,3.40191,3.48138,3.50974,3.66419,3.00852,3.48439,3.43549,2.61119,3.81499,3.77252,3.40501,3.41699,3.63104,3.43126,3.63405,2.76894,3.09977,3.36909,3.5935,4.1772,3.5016,3.4852,3.2815,4.0998,3.5677,2.814,3.6234,3.6974,3.5963,3.2205,3.7815,3.3325,3.9264,3.9438,3.4725,3.6266,3.6255,3.0048,3.372,2.9522,3.269,3.60066,3.76321,3.9736,3.37196,3.91991,3.28997,3.06412,3.67018,3.75647,2.60176,3.66816,3.52615,3.76839,3.3954,3.9169,3.62822,3.84257,3.84497,3.92652,2.68871,3.80768,3.16143,3.66911
"PIGF",3.009,3.0765,2.9084,3.4216,3.4062,2.8195,2.9266,2.9483,2.714,3.3685,3.0385,2.99,2.8113,2.8562,3.4335,3.1526,3.5039,3.0697,2.9364,3.2441,3.2528,3.4124,3.1514,3.58153,3.16004,3.20044,3.76932,3.65621,3.58916,3.08069,3.50877,3.45965,3.81015,2.89474,3.55859,2.95637,3.86265,4.00359,3.75565,3.49398,3.16247,3.35309,3.49846,3.06685,3.0474,3.1582,3.5541,3.7196,3.4315,3.3214,3.1476,3.7331,3.6797,2.9458,4.1502,3.5522,3.3952,2.9962,3.2514,3.1442,3.7295,3.5317,3.2419,3.4674,3.3939,3.0643,3.4446,3.1383,3.3584,3.92384,3.6634,4.00291,3.68373,3.45441,2.92797,3.27102,3.90104,3.95282,2.66635,3.52095,3.36821,3.77,3.45037,3.77876,3.35166,3.42794,3.59794,3.04158,2.69973,3.84811,3.51852,3.86943
"DUT",3.4606,3.5729,3.4155,3.2289,4.2662,3.1248,2.9049,3.0946,3.2671,3.7759,3.356,3.8265,2.8263,3.3017,3.1787,2.8051,3.4068,3.33,3.118,3.2954,3.2914,3.3133,3.0455,3.98031,3.43949,3.58221,3.64037,3.36168,3.49892,3.46315,2.94255,3.40786,4.1702,2.7888,3.32853,3.28503,3.45841,3.91055,3.82498,3.5652,2.90487,3.14044,2.997,3.17405,3.17551,3.3049,4.0604,3.305,3.5338,3.0677,3.6065,2.9565,3.0693,3.327,4.3778,3.2735,3.3706,2.8137,3.2263,2.9086,3.3808,2.9225,2.5719,2.8993,3.4195,2.557,3.3555,3.7233,3.286,4.09267,3.74264,4.66004,3.57303,3.72684,2.45129,3.50228,3.09692,4.15671,2.36241,3.63595,3.10139,3.59429,3.01269,4.13284,3.07415,2.86048,3.53348,2.36349,2.40196,4.11342,3.96687,4.15698
"PRKACB",2.6864,3.2656,2.9607,3.1531,3.8672,2.9082,2.9424,3.1867,3.1078,3.4176,3.0868,3.1779,2.8487,3.2976,3.1782,2.9976,3.4759,3.1559,3.1931,3.0054,3.1466,2.6275,3.2033,3.72362,3.65304,3.74828,3.6424,3.69965,3.73164,3.90246,2.64413,3.18804,4.07417,2.87761,3.50525,3.70678,3.57344,4.38477,3.848,3.75058,3.20164,2.95113,3.20502,2.63396,3.73958,3.31206,3.9457,3.428,3.5443,3.0889,3.5185,2.9898,3.465,3.3263,4.3706,3.707,3.7435,3.0326,3.5697,3.3181,3.5873,2.5653,2.1541,2.7083,3.7281,2.6033,2.7332,3.3184,3.7852,4.11645,3.8432,4.4292,4.05202,3.22004,1.80146,3.58063,3.64405,4.15498,3.08998,3.88173,3.39393,3.85422,2.75643,4.63623,2.97405,2.55278,3.3109,2.93946,1.64636,3.6666,3.97363,4.45532
