"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"SLC1A5",0,0,0,0,0,0,0.3015,0,0.1539,0.3051,0,0,0.0434999,0.3535,0.7659,0,0,0,1.2856,0,0,0,0,0.274711,1.12233,0,0,0,1.10513,0,0.520721,0,1.74374,1.99389,0,0.574911,0,0,0,0,0,0,0,1.11851,0,0,0.6195,0.8495,0,0,0,0,0,0,0,0,1.3074,0,0,0,0,0,1.143,0.7516,0,0,0,1.1605,1.3247,0,0,0,0.24834,0,0,0,0,0,0,0,0,0.338458,0,0.14022,0,1.4561,0.770643,0.412521,0,0.397729,0.848568,0.369731
"RAD50",0,0.3871,0,0,0.1177,0,0,0,0,0,0,0,0,0.4024,0,0,0,0,0,0,0,0,0,0,0.567803,0.0853148,0,0,0,0.396451,0,0,0,0,0,0,0,0.115564,0,0.113541,0.183174,0.225243,0,0,0.345108,0.0427332,0,0,0,0,0.0316,0,0,0,0,0.2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226297,0,0,0.0197515,0,0.374087,0,0,0,0,0,0.236047,0,0,0,0,0,0,0.0480356,0.686466
"ABHD17A",0.1677,0.2478,0.3382,0.0672998,0.4254,0.103,0.1229,0,0.3234,0.5091,0.3429,0.0516005,0.0139999,0.1572,0.5327,0.3407,0.9178,0.1357,0.5508,0,0.2245,0.1901,0.5993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900269,0,0,0,0,0,0,0,0,0,0.1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-796E2.4",0,0,0.0553999,0.0384998,0.2582,0,0,0,0,0.2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228989,0.0881929,0.171774,0,0,0,0.628248,0,0,0,0,0,0,0,0.18686,0,0,0,0,0,0,0,0.0427332,0.2455,0,0,0,0,0,0,0,0.8844,0,0.1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12215,0.269794,0.0605326,0,0,0,0.460832,0,0,0,0,0,0.225709,0,0,0,0,0,0,0.4176,0.360127
"SLC18A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2394,0,0,0,0,0,0.553963,0,0,0,0.153342,0,0,0.271886,0,0.0324068,0.470168,0.160442,0,0.0793018,0,0,0.309473,0,0,0.1486,0,0,0,0,0,0.1661,0.2198,0.5062,0.2688,0,0,0,0,0.3264,0.286,0,0,0.1974,0,0.1643,0,0,0.399953,0,0.328339,0,0.502992,0,0,0,0,0,0,0.291886,0,0,0.437619,0,0.646981,0,0,0,0,0,0
"LRRC41",0,0,0,0.0719995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1593,0.0212002,0,0,0,0,0.00453568,0,0,0,0,0,0,0,0.0288296,0.00791454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405321,0,0,0,0,0,0,0,0,0,0,0,0,0.170127,0,0,0,0
"ZCWPW1",0,0,0,0,0.2618,0,0,0,0,0,0,0.0017004,0,0.0952997,0.1863,0,0,0,0,0,0.0306997,0,0,0,0,0,0,0,0,0.194341,0,0,0,0,0,0,0,0.0309029,0,0,0,0,0,0,0,0,0,0,0,0.0382996,0,0,0,0,0,0,0,0,0,0,0,0,0.3288,0.3378,0,0,0,0,0,0,0,0,0.290934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THOC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775995,0,0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLA2",0,0.00450039,0,0.1459,0.1296,0,0,0,0,0,0,0,0,0,0,0,0.1956,0,0,0,0.0171003,0,0,0,0,0,0,0,0,0,0,0,0.326636,0,0,0.363355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935173,0,0,0,0,0.0090313,0.412521,0,0,0,0
"LOC101927770",0.1421,0,0,0,0,0,0,0,0,0,0,0,0.2517,0,0,0,0,0,0,0,0,0,0,0,0.15955,0,0,0.393894,0,0.249519,0.881124,0.179934,0,0,0,0,0,0,0,0.199938,0.940483,0.502809,0.0632095,0,0.146018,0,0,0,0,0,0,0,0,0,0,0.6044,0,0.1956,0,0.2614,0,0,0,0.1584,0.0103998,0,0.1874,0.764,0,0,0,0,0,0.308171,0,0,0,0.18997,0,0,0,0,0,0,0,0.124024,0.266098,0,0,0,0.219568,0.207811
