"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RNASE6",0.255452766646154,0.0757485083047619,1.74014594130262,0.0863526248808764,0.322105694736378,-5.00693356986127,"NOT"
"SPSB2",-0.148116873923718,0.00296522856507937,-1.73928001627829,0.0865058579587438,0.32261249095395,-5.00836147168788,"NOT"
"TRAPPC6B",0.226564150217949,0.0573568679623016,1.73870233946187,0.0866082077279547,0.322922183184402,-5.00931369428752,"NOT"
"SPAG1",0.258004950240029,0.0354633621393298,1.73861513390654,0.0866236670331543,0.322922183184402,-5.00945741584045,"NOT"
"FAH",0.157874378102564,0.0525955058730159,1.73840618541051,0.0866607175009431,0.322995483205762,-5.00980175247557,"NOT"
"MARCKSL1",-0.185712260353526,-0.0432779812206349,-1.7377354865505,0.0867797333016427,0.323328125855735,-5.01090677525785,"NOT"
"UPK3B",0.132871354707692,-0.0285972079619048,1.73770707473413,0.0867847779670918,0.323328125855735,-5.01095357709636,"NOT"
"FAM5B",0.166875521587179,-0.015854970184127,1.7367876787974,0.0869481521483018,0.32387184164966,-5.01246769028947,"NOT"
"WSB2",0.363729697063141,0.163221178906349,1.73654167746153,0.086991908929649,0.323923125579449,-5.01287269512131,"NOT"
"IFI44L",0.52929457255,0.319151141028571,1.73651421132795,0.0869967955165736,0.323923125579449,-5.01291791079896,"NOT"
"LOC440926",0.858353611413461,0.377993240238095,1.73626933150666,0.0870403728733221,0.324020434167301,-5.01332101137426,"NOT"
"CHST1",0.132352058987179,0.00509742949206349,1.73367986671301,0.0875022815764751,0.325620286236832,-5.0175803935472,"NOT"
"FRS3",-0.0990903911442308,-0.01791951,-1.73366357991174,0.0875051932005956,0.325620286236832,-5.0176071651538,"NOT"
"MGC14376",0.164898828316987,0.0816570405825397,1.73355570223155,0.0875244807270161,0.32562682835671,-5.01778448446317,"NOT"
"CNTNAP3",0.166579483094872,-0.0134230361079365,1.73330633963825,0.0875690778584307,0.325713306652924,-5.01819432495585,"NOT"
"GGT1",0.141169195714103,0.0306578394063492,1.73322967198333,0.0875827932133589,0.325713306652924,-5.01832032144156,"NOT"
"C9orf78",0.228197964760684,0.0838572727566138,1.7329071330067,0.0876405127830983,0.325862723270383,-5.01885032986308,"NOT"
"RNASE1",0.205940062523504,0.0146432538994709,1.73185566404509,0.0878288949501294,0.326497809204243,-5.02057751833941,"NOT"
