"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CEACAM1",0.606088905190385,0.133919909447619,4.79482336322301,9.22275830439495e-06,0.000258404160275174,3.30398056417543,"UP"
"ACSL1",1.07870183327244,-0.115663491200397,4.7849991961934,9.56639892194937e-06,0.000266424927097648,3.26937401450342,"UP"
"LMNB1",0.620798493578846,0.0900926404,4.77337274828171,9.98924984121857e-06,0.00027736966375258,3.22846291013863,"UP"
"F13A1",0.743704485873077,0.0991312180047619,4.76182582661164,1.04272420496608e-05,0.000286957701206667,3.18787924483334,"UP"
"GALNAC4S-6ST",0.653684136271795,0.00626456083492064,4.74447362709899,1.11208826299667e-05,0.000303796346668032,3.12698167038974,"UP"
"RYBP",0.53672424395641,0.0714842059730159,4.74401028449381,1.1140008227479e-05,0.000303871942487003,3.12535705255489,"UP"
"S100A12",1.21601349310897,-0.166548772111111,4.73840533716812,1.13739231004624e-05,0.000308039036535147,3.10571056511427,"UP"
"CDC42",0.704020033137108,-0.0013868499329806,4.73774881470155,1.14016336575277e-05,0.000308292207892626,3.10341006176156,"UP"
"SCAP1",-0.587227044924359,-0.038187661384127,-4.73614254092519,1.14697093491855e-05,0.00030923268631418,3.09778221651417,"DOWN"
"MS4A6A",0.508204530641026,0.0279183073492064,4.73529351105019,1.15058521874723e-05,0.000309309276750341,3.09480787725189,"UP"
"NDUFA12",-0.519069795551282,-0.0610995625555555,-4.72954680897762,1.17534240261776e-05,0.000313863593796749,3.07468277340438,"DOWN"
"LRP10",0.623931250839387,0.0490631889805997,4.72881565407332,1.17852928552757e-05,0.000314094117761264,3.07212310798845,"UP"
"KLF4",0.571909372772436,0.108169759650794,4.7168437089814,1.23192593598758e-05,0.000325522847608894,3.03023873766662,"UP"
"OSBPL8",0.584085564634615,0.18578682852381,4.70780241073545,1.27380785762103e-05,0.00033193952756134,2.99864200586175,"UP"
"OPLAH",0.534508126648077,0.0332139454380952,4.69629631089924,1.32911906344899e-05,0.000343389648437112,2.9584748188924,"UP"
"TXN",0.551038910678063,-0.025812565712522,4.68810402975334,1.36992012984983e-05,0.000352460337009562,2.92990568895654,"UP"
"CLIP1",0.543378798003846,0.0596003998952381,4.68583435914888,1.38143836514683e-05,0.000354006842279177,2.92199499744326,"UP"
"FLJ11305",-0.560117136384259,-0.0797296838747795,-4.68511894032952,1.38508853307664e-05,0.000354006842279177,2.91950187731886,"DOWN"
"ADA",-0.5397264371,0.0643565245095238,-4.68317909639587,1.39503325458142e-05,0.000354988188179514,2.91274278452449,"DOWN"
"CYB5R4",0.503309068833333,0.0401340817063492,4.68156802159801,1.40334538858574e-05,0.000356163347873869,2.90713029712799,"UP"
"CENTD3",0.614168307044231,0.0615948806285714,4.68131571642833,1.40465148861659e-05,0.000356163347873869,2.90625143086497,"UP"
"NDST1",0.58164822890641,-0.00199784042222222,4.67301200832444,1.4483043255272e-05,0.000364055495953901,2.87733991982299,"UP"
"PCNX",0.611054616437821,0.0237063257888889,4.65442838254583,1.55084293867646e-05,0.000382815466601502,2.81272926667795,"UP"
"ORF1-FL49",0.659898503704487,0.0522037546730159,4.65426282140819,1.55178750188916e-05,0.000382815466601502,2.81215423206855,"UP"
"FOLR3",1.09523281347115,0.0575975785238095,4.6519066608453,1.56529081655352e-05,0.000385634512046396,2.80397182035445,"UP"
"HSPA1A",0.875104387089031,0.0515280661622575,4.64826901619178,1.58636345700176e-05,0.000388969449751424,2.79134319729837,"UP"
"SPOCK2",-0.603971141671154,-0.0695545242666667,-4.64400937188265,1.6113906741086e-05,0.000393857804766334,2.77656153369878,"DOWN"
"IFNGR1",0.545389357286539,0.0399564679571429,4.64222938441986,1.62196240881208e-05,0.000395920810855364,2.77038670926646,"UP"
"MGC17330",-0.638565341058974,-0.0993437949888889,-4.63763767480647,1.64954642699906e-05,0.000399968717675341,2.75446346076655,"DOWN"
"FCRLM1",-0.813084232902564,0.0334521525365079,-4.63406294095661,1.67133688695563e-05,0.000402681634398026,2.74207241848658,"DOWN"
"RPLP0",-0.580698266442308,0.0323259715238095,-4.63228258320279,1.68229370852881e-05,0.000403479919090247,2.73590299569016,"DOWN"
"TNFRSF1B",0.519585744905449,0.0225338827539683,4.61987269662278,1.76063444724e-05,0.000416631152763442,2.69293275026925,"UP"
"IL1R2",0.934082565725641,0.0822112213063492,4.61808650077651,1.77219875836072e-05,0.000418301958517264,2.68675271873157,"UP"
"UGCGL1",0.556916701871154,0.102785909342857,4.6154620831975,1.78932419626e-05,0.000420263002185558,2.67767474111421,"UP"
"PTGS2",0.636068622196795,0.117071248663492,4.61093726627981,1.81922962378647e-05,0.000425234851639766,2.66202936571652,"UP"
"ANKRD22",0.757327706150997,0.10760175433157,4.61049577315011,1.82217345986894e-05,0.000425234851639766,2.6605032416668,"UP"
"KCNJ2",0.542293780586182,-4.85618130511406e-05,4.60966385292399,1.82773323516913e-05,0.00042546331549501,2.65762771762205,"UP"
"NCF2",0.693163788709402,-0.059235404989418,4.60779652320731,1.84027291614242e-05,0.00042731137112827,2.65117427428415,"UP"
"IL2RB",-0.647279201726923,-0.115313384938095,-4.60527316405081,1.85735115282426e-05,0.000430201434100542,2.6424557293136,"DOWN"
"FLJ20273",0.86767649856218,-0.0237360575365079,4.60110071545199,1.88592952461333e-05,0.000436276797624125,2.62804470905766,"UP"
"ITGB7",-0.512660571121154,0.0574108092761905,-4.58071913201846,2.03179460920709e-05,0.000461965932198664,2.55774594443241,"DOWN"
"P2RX1",0.538506680714744,0.0406030227460317,4.57965139302016,2.03973138113282e-05,0.000462637974797599,2.55406759093894,"UP"
"CAPZA2",0.578609927370513,0.00673999867936508,4.57774641879157,2.05396651416296e-05,0.000465298560574281,2.54750606409455,"UP"
"GOLGA8B",-0.629728489793804,-0.0399879614338624,-4.57620331201178,2.06556836836802e-05,0.000466788296968423,2.54219199054087,"DOWN"
"RAB8B",0.536267853003205,0.00866941503174604,4.57164784972228,2.10019179549581e-05,0.000473297650509807,2.5265095061143,"UP"
"EBI2",-0.61474630164391,-0.00758539663015873,-4.56708823585492,2.13541188693591e-05,0.000478497119562382,2.51082080149485,"DOWN"
"TBL1X",0.501401956747757,0.0590661931730159,4.56051785685977,2.18717619139424e-05,0.000486574669836401,2.48822769688077,"UP"
"GLRX",0.544106555650285,0.00828063344091711,4.55899665782605,2.19933373635864e-05,0.000488694060844475,2.48299925586301,"UP"
"SSH2",0.546722199066026,0.0867655886539682,4.55447394303315,2.23586912224533e-05,0.000494056984410131,2.46745978700632,"UP"
