"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"neostigmine bromide PC3 DOWN","2/650",0.00987961202053571,0.0402920805058374,0,0,19.9043209876543,91.9038637583614,"CYP1B1;OSBPL1A"
"cilostazol CTD 00002032","1/40",0.0099609694951761,0.0402920805058374,0,0,127.923076923077,589.607807093397,"PTEN"
"Sunitinib CTD 00004175","1/41",0.0102089737568119,0.0402920805058374,0,0,124.71875,571.771633377479,"PTEN"
"RUTIN CTD 00006712","1/41",0.0102089737568119,0.0402920805058374,0,0,124.71875,571.771633377479,"CYP1B1"
"CHEMBL35349 CTD 00001274","1/41",0.0102089737568119,0.0402920805058374,0,0,124.71875,571.771633377479,"CYP1B1"
"resveratrol PC3 DOWN","1/42",0.0104569283345458,0.0402920805058374,0,0,121.670731707317,554.878218723978,"CYP1B1"
"rimexolone HL60 DOWN","1/42",0.0104569283345458,0.0402920805058374,0,0,121.670731707317,554.878218723978,"CYP1B1"
"naphthalene CTD 00001527","1/42",0.0104569283345458,0.0402920805058374,0,0,121.670731707317,554.878218723978,"CYP1B1"
"naringenin CTD 00000211","1/42",0.0104569283345458,0.0402920805058374,0,0,121.670731707317,554.878218723978,"CYP1B1"
"PURPURIN CTD 00003820","1/42",0.0104569283345458,0.0402920805058374,0,0,121.670731707317,554.878218723978,"CYP1B1"
"1,3,5[10]-Estratriene-3,4,17 beta-triol CTD 00000733","1/43",0.0107048332367717,0.0406783662997324,0,0,118.767857142857,538.856886224195,"CYP1B1"
"0173570-0000 PC3 DOWN","1/43",0.0107048332367717,0.0406783662997324,0,0,118.767857142857,538.856886224195,"CYP1B1"
"dibutyl phthalate CTD 00005795","1/44",0.0109526884693577,0.0408706769213002,0,0,116,523.643758342585,"CYP1B1"
"cyproheptadine PC3 DOWN","1/44",0.0109526884693577,0.0408706769213002,0,0,116,523.643758342585,"CYP1B1"
"scriptaid MCF7 UP","2/688",0.0110267864892414,0.0408706769213002,0,0,18.7648202137998,84.5810728741874,"HSDL2;DEGS1"
"promethazine PC3 DOWN","1/45",0.0112004940383236,0.0408706769213002,0,0,113.357954545455,509.180964486494,"CYP1B1"
"p,p'-DDE CTD 00005754","1/45",0.0112004940383236,0.0408706769213002,0,0,113.357954545455,509.180964486494,"CYP1B1"
"okadaic acid BOSS","1/45",0.0112004940383236,0.0408706769213002,0,0,113.357954545455,509.180964486494,"PTEN"
"Salicylate, sodium BOSS","1/46",0.0114482499529966,0.0409609462603968,0,0,110.833333333333,495.415956354284,"PTEN"
"DEHP CTD 00005816","1/46",0.0114482499529966,0.0409609462603968,0,0,110.833333333333,495.415956354284,"CYP1B1"
"Ferriheme chloride CTD 00006079","1/46",0.0114482499529966,0.0409609462603968,0,0,110.833333333333,495.415956354284,"PTEN"
"TETRACHLOROETHYLENE BOSS","1/47",0.0116959562183021,0.0410405163665728,0,0,108.41847826087,482.300914498126,"PTEN"
"apigenin TTD 00002101","1/48",0.0119436128411834,0.0410405163665728,0,0,106.106382978723,469.792232055872,"CYP1B1"
"lansoprazole CTD 00007481","1/48",0.0119436128411834,0.0410405163665728,0,0,106.106382978723,469.792232055872,"CYP1B1"
"progesterone HL60 DOWN","1/49",0.0121912198306987,0.0410405163665728,0,0,103.890625,457.850064403937,"CYP1B1"
"DICHLOROMETHANE CTD 00006313","1/49",0.0121912198306987,0.0410405163665728,0,0,103.890625,457.850064403937,"CYP1B1"
"clioquinol PC3 UP","1/49",0.0121912198306987,0.0410405163665728,0,0,103.890625,457.850064403937,"CYP1B1"
"etoposide HL60 DOWN","1/49",0.0121912198306987,0.0410405163665728,0,0,103.890625,457.850064403937,"OSBPL1A"
"ETHYLBENZENE CTD 00000178","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"CYP1B1"
"O-XYLENE CTD 00001228","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"CYP1B1"
"STOCK1N-35696 MCF7 UP","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"CYP1B1"
"propranolol CTD 00006636","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"CYP1B1"
"CAPECITABINE BOSS","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"PTEN"
"monorden MCF7 UP","1/50",0.0124387771927725,0.0410405163665728,0,0,101.765306122449,446.437935140061,"OSBPL1A"
"nocodazole MCF7 DOWN","1/51",0.0126862849341824,0.0416079940400864,0,0,99.725,435.522390256301,"CYP1B1"
"0179445-0000 PC3 UP","1/52",0.0129337430598205,0.0416753943038659,0,0,97.7647058823529,425.072693906196,"CYP1B1"
"ethopropazine BOSS","1/52",0.0129337430598205,0.0416753943038659,0,0,97.7647058823529,425.072693906196,"PTEN"
"pararosaniline MCF7 UP","1/52",0.0129337430598205,0.0416753943038659,0,0,97.7647058823529,425.072693906196,"CYP1B1"
"doxorubicin CTD 00005874","2/750",0.0130228357800622,0.0417185029931063,0,0,17.1541889483066,74.4672067564492,"HSDL2;PTEN"
"LY-294002 HL60 DOWN","1/53",0.0131811515812902,0.0419815868282712,0,0,95.8798076923077,415.060559932682,"CYP1B1"
"Indole-3-carbinol CTD 00000845","1/54",0.0134285105037049,0.0420403936792126,0,0,94.0660377358491,405.459914594901,"CYP1B1"
"acacetin HL60 DOWN","1/54",0.0134285105037049,0.0420403936792126,0,0,94.0660377358491,405.459914594901,"CYP1B1"
"geldanamycin HL60 DOWN","1/54",0.0134285105037049,0.0420403936792126,0,0,94.0660377358491,405.459914594901,"CYP1B1"
"Lapatinib BOSS","1/55",0.0136758198325556,0.0425727498742266,0,0,92.3194444444444,396.246686077218,"PTEN"
"Paricalcitol CTD 00003033","1/57",0.014170289742456,0.043864211506142,0,0,89.0133928571429,378.895100372194,"CYP1B1"
"estrone CTD 00005927","1/58",0.0144174503390076,0.0438895863911227,0,0,87.4473684210526,370.717026091757,"CYP1B1"
"chlorprothixene PC3 DOWN","1/58",0.0144174503390076,0.0438895863911227,0,0,87.4473684210526,370.717026091757,"CYP1B1"
"GW9662 CTD 00004071","1/58",0.0144174503390076,0.0438895863911227,0,0,87.4473684210526,370.717026091757,"PTEN"
"Everolimus BOSS","1/59",0.0146645613684728,0.0443965566704865,0,0,85.9353448275862,362.846652966345,"PTEN"
"tamoxifen CTD 00006827","2/802",0.0148138150248237,0.0446033446922288,0,0,15.9958333333333,67.3775705628242,"PTEN;CYP1B1"
"H-89 PC3 DOWN","1/60",0.0149116228452911,0.0446538271073663,0,0,84.4745762711864,355.267487083311,"DEGS1"
"F0447-0125 MCF7 UP","1/61",0.0151586347698374,0.0451481500442185,0,0,83.0625,347.96417553925,"CYP1B1"
"toluene CTD 00006907","1/62",0.0154055971565865,0.0453929627448083,0,0,81.6967213114754,340.922410114916,"CYP1B1"
"alvespimycin MCF7 UP","1/62",0.0154055971565865,0.0453929627448083,0,0,81.6967213114754,340.922410114916,"OSBPL1A"
"thiostrepton PC3 DOWN","1/63",0.0156525100040084,0.0458751755968544,0,0,80.375,334.128840793773,"CYP1B1"
"chlorpyrifos CTD 00005880","1/64",0.0158993733235186,0.046108182638204,0,0,79.0952380952381,327.570997393791,"CYP1B1"
"alexidine PC3 UP","1/64",0.0158993733235186,0.046108182638204,0,0,79.0952380952381,327.570997393791,"CYP1B1"
"omeprazole CTD 00006436","1/65",0.0161461871258954,0.0463205960429883,0,0,77.85546875,321.237218930549,"CYP1B1"
"SANGUINARINE CTD 00000244","1/66",0.0163929514126728,0.0463205960429883,0,0,76.6538461538462,315.116589619202,"CYP1B1"
"Melatonin CTD 00006260","1/66",0.0163929514126728,0.0463205960429883,0,0,76.6538461538462,315.116589619202,"CYP1B1"
"h-89 CTD 00002586","1/66",0.0163929514126728,0.0463205960429883,0,0,76.6538461538462,315.116589619202,"CYP1B1"
"luteolin PC3 DOWN","1/66",0.0163929514126728,0.0463205960429883,0,0,76.6538461538462,315.116589619202,"CYP1B1"
"ciclopirox MCF7 DOWN","1/67",0.0166396661964727,0.0467778371135532,0,0,75.4886363636364,309.198880692339,"CYP1B1"
"captopril PC3 DOWN","2/856",0.0167843965728466,0.0469451904144085,0,0,14.9422326307572,61.0734711018891,"CYP1B1;OSBPL1A"
"Benz[a]anthracene CTD 00001470","1/69",0.01713294726931,0.0476780502292414,0,0,73.2610294117647,297.934432634127,"CYP1B1"
"136572-09-3 BOSS","1/70",0.0173795135752015,0.0479586328943943,0,0,72.195652173913,292.570219819561,"PTEN"
"trichostatin A MCF7 UP","2/874",0.0174659716315891,0.0479586328943943,0,0,14.6200305810398,59.1745850224797,"HSDL2;DEGS1"
"PHOSPHINE CTD 00006547","1/71",0.0176260304057791,0.0479586328943943,0,0,71.1607142857143,287.373896428125,"CYP1B1"
"GW-8510 MCF7 UP","1/71",0.0176260304057791,0.0479586328943943,0,0,71.1607142857143,287.373896428125,"CYP1B1"
"TBTO CTD 00000264","1/72",0.0178724977648703,0.0479586328943943,0,0,70.1549295774648,282.337965850601,"PTEN"
"baicalein CTD 00000302","1/72",0.0178724977648703,0.0479586328943943,0,0,70.1549295774648,282.337965850601,"CYP1B1"
"Benzo[b]fluoranthene CTD 00000306","1/73",0.0181189156620487,0.0479586328943943,0,0,69.1770833333333,277.455364357132,"CYP1B1"
"benzocaine PC3 DOWN","1/73",0.0181189156620487,0.0479586328943943,0,0,69.1770833333333,277.455364357132,"CYP1B1"
"8-azaguanine HL60 DOWN","2/897",0.0183546599206313,0.0479586328943943,0,0,14.2271880819367,56.8784738851097,"DEGS1;OSBPL1A"
"DMBA CTD 00007046","1/74",0.018365284102935,0.0479586328943943,0,0,68.2260273972603,272.719430604103,"CYP1B1"
"ns-398 CTD 00002958","1/74",0.018365284102935,0.0479586328943943,0,0,68.2260273972603,272.719430604103,"CYP1B1"
"ketoconazole CTD 00006190","1/74",0.018365284102935,0.0479586328943943,0,0,68.2260273972603,272.719430604103,"CYP1B1"
"Benzo[k]fluoranthene CTD 00001069","1/74",0.018365284102935,0.0479586328943943,0,0,68.2260273972603,272.719430604103,"CYP1B1"
"methapyrilene PC3 DOWN","1/76",0.0188578726507589,0.0490126784460763,0,0,66.4,263.66276705355,"CYP1B1"
"Dibenz[a,h]anthracene CTD 00001246","1/78",0.0193502634667733,0.0500563153530144,0,0,64.6688311688312,255.121723496479,"CYP1B1"
"temozolomide BOSS","1/79",0.0195963847396345,0.0502214325187842,0,0,63.8365384615385,251.031453818202,"PTEN"
"gefitinib HL60 DOWN","1/79",0.0195963847396345,0.0502214325187842,0,0,63.8365384615385,251.031453818202,"CYP1B1"
"lycorine MCF7 UP","1/80",0.0198424566057452,0.0506166369896555,0,0,63.0253164556962,247.054914696706,"CYP1B1"
"TRICHLOROETHYLENE CTD 00006932","1/81",0.0200884790625877,0.0510080735644507,0,0,62.234375,243.187591985921,"CYP1B1"
"yohimbic acid PC3 DOWN","1/82",0.0203344521241591,0.0513957941303287,0,0,61.462962962963,239.425203466437,"PTEN"
"biochanin A CTD 00000149","1/83",0.0205803757988252,0.0517798496125694,0,0,60.7103658536585,235.763684338333,"CYP1B1"
"Dibenzo[def,p]chrysene CTD 00001899","1/84",0.0208262500889298,0.052160289995456,0,0,59.9759036144578,232.199173720923,"CYP1B1"
"Isoflavone BOSS","1/85",0.0210720750045875,0.0525371643779536,0,0,59.2589285714286,228.728002100453,"PTEN"
"retinol CTD 00006991","1/86",0.0213178505521487,0.0528068034800405,0,0,58.5588235294118,225.346679757786,"CYP1B1"
"tanespimycin MCF7 UP","1/87",0.0215635767386735,0.0528068034800405,0,0,57.875,222.051885978165,"OSBPL1A"
"alsterpaullone PC3 UP","1/87",0.0215635767386735,0.0528068034800405,0,0,57.875,222.051885978165,"HSDL2"
"apigenin MCF7 DOWN","1/87",0.0215635767386735,0.0528068034800405,0,0,57.875,222.051885978165,"CYP1B1"
"IN1152 CTD 00001901","1/88",0.0218092535740446,0.0531721182269847,0,0,57.2068965517241,218.84045903048,"CYP1B1"
"Chlorophenothane CTD 00005755","1/90",0.0223004592144074,0.0538927764348179,0,0,55.9157303370786,212.655798455924,"CYP1B1"
"chrysin CTD 00001976","1/90",0.0223004592144074,0.0538927764348179,0,0,55.9157303370786,212.655798455924,"CYP1B1"
"7,8-Benzoflavone CTD 00000606","1/91",0.0225459880333307,0.0540123452450661,0,0,55.2916666666667,209.676955663718,"CYP1B1"
"LITHIUM BOSS","1/91",0.0225459880333307,0.0540123452450661,0,0,55.2916666666667,209.676955663718,"PTEN"
"pyrvinium MCF7 DOWN","1/92",0.0227914675292109,0.054129735381876,0,0,54.6813186813187,206.770245759688,"CYP1B1"
"ellipticine CTD 00001632","1/92",0.0227914675292109,0.054129735381876,0,0,54.6813186813187,206.770245759688,"CYP1B1"
"Sunitinib BOSS","1/93",0.0230368977064391,0.0544778138894761,0,0,54.0842391304348,203.933174379974,"PTEN"
"valinomycin PC3 UP","1/95",0.02352761014601,0.0554004837198782,0,0,52.9281914893617,198.458522523967,"CYP1B1"
"tretinoin MCF7 UP","1/96",0.0237728924186839,0.0554530685049116,0,0,52.3684210526316,195.81648814875,"DEGS1"
"apigenin PC3 DOWN","1/97",0.0240181254075563,0.0554530685049116,0,0,51.8203125,193.23517335892,"CYP1B1"
"lovastatin CTD 00006225","1/97",0.0240181254075563,0.0554530685049116,0,0,51.8203125,193.23517335892,"PTEN"
"Gefitinib BOSS","1/97",0.0240181254075563,0.0554530685049116,0,0,51.8203125,193.23517335892,"PTEN"
"anisomycin HL60 DOWN","2/1034",0.0240531458669217,0.0554530685049116,0,0,12.25,45.6617461999135,"DEGS1;OSBPL1A"
"Erlotinib BOSS","1/98",0.0242633091136396,0.0556701809133869,0,0,51.2835051546392,190.712585247944,"PTEN"
"okadaic acid CTD 00007275","1/99",0.024508443549027,0.0556701809133869,0,0,50.7576530612245,188.246815692934,"CYP1B1"
"alexidine MCF7 UP","1/99",0.024508443549027,0.0556701809133869,0,0,50.7576530612245,188.246815692934,"CYP1B1"
"myricetin CTD 00001847","1/100",0.0247535287182936,0.0556701809133869,0,0,50.2424242424242,185.836036973753,"CYP1B1"
"alexidine HL60 UP","1/100",0.0247535287182936,0.0556701809133869,0,0,50.2424242424242,185.836036973753,"CYP1B1"
"mefloquine PC3 UP","1/100",0.0247535287182936,0.0556701809133869,0,0,50.2424242424242,185.836036973753,"CYP1B1"
"myo-inositol BOSS","1/101",0.0249985646287561,0.0557660287872251,0,0,49.7375,183.478497602064,"PTEN"
"1,2,4-BENZENETRIOL CTD 00000682","1/101",0.0249985646287561,0.0557660287872251,0,0,49.7375,183.478497602064,"CYP1B1"
"azacitidine MCF7 UP","1/103",0.025488488708856,0.0566296664458856,0,0,48.7573529411765,178.916488982314,"CYP1B1"
"resveratrol MCF7 DOWN","1/104",0.0257333768915334,0.0567163626689395,0,0,48.2815533980583,176.708864043101,"CYP1B1"
"3,3'-Diindolylmethane CTD 00000841","1/104",0.0257333768915334,0.0567163626689395,0,0,48.2815533980583,176.708864043101,"CYP1B1"
"Imatinib CTD 00003267","1/105",0.0259782158449948,0.0570278762174984,0,0,47.8149038461538,174.548160380973,"PTEN"
"Dasatinib BOSS","1/106",0.026223005581082,0.057110182115321,0,0,47.3571428571429,172.432953709799,"PTEN"
"kaempferol CTD 00000297","1/106",0.026223005581082,0.057110182115321,0,0,47.3571428571429,172.432953709799,"CYP1B1"
"daunorubicin BOSS","1/108",0.0267124374131317,0.0575711272058381,0,0,46.4672897196262,168.333611949196,"PTEN"
"clomipramine PC3 DOWN","1/108",0.0267124374131317,0.0575711272058381,0,0,46.4672897196262,168.333611949196,"CYP1B1"
"clonidine HL60 DOWN","1/109",0.0269570795265086,0.0575711272058381,0,0,46.0347222222222,166.346898022579,"OSBPL1A"
"lomustine PC3 DOWN","1/109",0.0269570795265086,0.0575711272058381,0,0,46.0347222222222,166.346898022579,"CYP1B1"
"celecoxib BOSS","1/109",0.0269570795265086,0.0575711272058381,0,0,46.0347222222222,166.346898022579,"PTEN"
"docetaxel CTD 00002688","1/110",0.027201672447497,0.0578691950523971,0,0,45.6100917431193,164.400518470325,"CYP1B1"
"beta-Levulose BOSS","1/112",0.0276907107529675,0.0582350443697905,0,0,44.7837837837838,160.624128645117,"PTEN"
"apigenin CTD 00007429","1/112",0.0276907107529675,0.0582350443697905,0,0,44.7837837837838,160.624128645117,"CYP1B1"
"emodin CTD 00005893","1/112",0.0276907107529675,0.0582350443697905,0,0,44.7837837837838,160.624128645117,"CYP1B1"
"menadione PC3 UP","1/113",0.027935156143684,0.058525745380874,0,0,44.3816964285714,158.791909424441,"CYP1B1"
"Glycidamide CTD 00002776","1/114",0.0281795523721255,0.0588141415039436,0,0,43.9867256637168,156.995602705958,"CYP1B1"
"AH-23848 PC3 UP","1/116",0.028668197377471,0.0593841231390472,0,0,43.2173913043478,153.506742377312,"DEGS1"
"disulfiram CTD 00005860","1/116",0.028668197377471,0.0593841231390472,0,0,43.2173913043478,153.506742377312,"PTEN"
