"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901616","BP","GO:1901616","organic hydroxy compound catabolic process","2/11","74/18614",0.000837875102358396,0.010928030590334,0.00581727394694519,"PTEN/CYP27A1",2
"GO:0001523","BP","GO:0001523","retinoid metabolic process","2/11","85/18614",0.00110352620660726,0.0140929492635468,0.00750204219404056,"CYP1B1/DGAT2",2
"GO:0019915","BP","GO:0019915","lipid storage","2/11","86/18614",0.0011294364324248,0.0141294802668654,0.00752148859402125,"ABHD5/DGAT2",2
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","2/11","88/18614",0.00118213287005484,0.0144929489868723,0.00771497241509472,"CYP1B1/DGAT2",2
"GO:0020037","MF","GO:0020037","heme binding","2/11","137/18369",0.00290615874692069,0.0150151535257569,0.00509852411740471,"CYP1B1/CYP27A1",2
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","2/11","147/18369",0.00333665417545764,0.0157766857531958,0.00535710891449773,"CYP1B1/CYP27A1",2
"GO:0005506","MF","GO:0005506","iron ion binding","2/11","152/18369",0.00356247742814099,0.0157766857531958,0.00535710891449773,"CYP1B1/CYP27A1",2
"GO:0016874","MF","GO:0016874","ligase activity","2/11","165/18369",0.00418229732473758,0.0172868289422487,0.00586989098208783,"ACSL4/ACSL1",2
"GO:0006721","BP","GO:0006721","terpenoid metabolic process","2/11","99/18614",0.00149274417708103,0.0179421996186406,0.00955109793385177,"CYP1B1/DGAT2",2
"GO:0034308","BP","GO:0034308","primary alcohol metabolic process","2/11","107/18614",0.00174057836718135,0.0205187411361955,0.0109226577697615,"CYP1B1/DGAT2",2
"GO:0016717","MF","GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","1/11","10/18369",0.00597369815745896,0.0205760714312475,0.00698678147071224,"DEGS1",1
"GO:0031957","MF","GO:0031957","very long-chain fatty acid-CoA ligase activity","1/11","10/18369",0.00597369815745896,0.0205760714312475,0.00698678147071224,"ACSL4",1
"GO:0034594","MF","GO:0034594","phosphatidylinositol trisphosphate phosphatase activity","1/11","10/18369",0.00597369815745896,0.0205760714312475,0.00698678147071224,"PTEN",1
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","3/11","445/18614",0.00194087590550328,0.0223910159278625,0.0119193181722974,"ACSL4/ACSL1/DGAT2",3
"GO:0033559","BP","GO:0033559","unsaturated fatty acid metabolic process","2/11","114/18614",0.00197245491044792,0.0223910159278625,0.0119193181722974,"CYP1B1/DEGS1",2
"GO:0006720","BP","GO:0006720","isoprenoid metabolic process","2/11","119/18614",0.00214660756119177,0.0239249170001919,0.0127358534730995,"CYP1B1/DGAT2",2
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","3/11","464/18614",0.00218728932144413,0.0239430063222367,0.0127454828881143,"ACSL4/ACSL1/DGAT2",3
"GO:0016747","MF","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","2/11","226/18369",0.0077041308068119,0.0240543599028598,0.00816786414358567,"ABHD5/DGAT2",2
"GO:0004438","MF","GO:0004438","phosphatidylinositol-3-phosphate phosphatase activity","1/11","13/18369",0.00775947093640639,0.0240543599028598,0.00816786414358567,"PTEN",1
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","2/11","123/18614",0.00229101824426013,0.0244202016023087,0.0129995063049982,"CYP1B1/ACSL1",2
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","3/11","473/18614",0.00231055741098516,0.0244202016023087,0.0129995063049982,"ACSL4/ACSL1/DGAT2",3
"GO:0052744","MF","GO:0052744","phosphatidylinositol monophosphate phosphatase activity","1/11","14/18369",0.00835408010069594,0.0246644269639594,0.00837501764480796,"PTEN",1
"GO:0005741","CC","GO:0005741","mitochondrial outer membrane","2/11","208/19518",0.00583498858866066,0.0250215747645731,0.0142980427226132,"ACSL4/ACSL1",2
"GO:0043220","CC","GO:0043220","Schmidt-Lanterman incisure","1/11","11/19518",0.00618354556524181,0.0250215747645731,0.0142980427226132,"PTEN",1
"GO:0031968","CC","GO:0031968","organelle outer membrane","2/11","236/19518",0.00745156788418405,0.0250215747645731,0.0142980427226132,"ACSL4/ACSL1",2
"GO:0019867","CC","GO:0019867","outer membrane","2/11","238/19518",0.00757401337699715,0.0250215747645731,0.0142980427226132,"ACSL4/ACSL1",2
"GO:0043218","CC","GO:0043218","compact myelin","1/11","14/19518",0.00786392349743725,0.0250215747645731,0.0142980427226132,"PTEN",1
"GO:0016746","MF","GO:0016746","acyltransferase activity","2/11","253/18369",0.00957466020433509,0.0269831333031262,0.00916235426252162,"ABHD5/DGAT2",2
"GO:0052745","MF","GO:0052745","inositol phosphate phosphatase activity","1/11","18/18369",0.0107292788517935,0.0289224038613565,0.00982085020759134,"PTEN",1
"GO:0003841","MF","GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity","1/11","21/18369",0.0125072825576948,0.03007988456941,0.0102138827060815,"ABHD5",1
"GO:1990381","MF","GO:1990381","ubiquitin-specific protease binding","1/11","21/18369",0.0125072825576948,0.03007988456941,0.0102138827060815,"PTEN",1
"GO:0042171","MF","GO:0042171","lysophosphatidic acid acyltransferase activity","1/11","22/18369",0.0130993045705495,0.03007988456941,0.0102138827060815,"ABHD5",1
"GO:0071617","MF","GO:0071617","lysophospholipid acyltransferase activity","1/11","22/18369",0.0130993045705495,0.03007988456941,0.0102138827060815,"ABHD5",1
"GO:0097038","CC","GO:0097038","perinuclear endoplasmic reticulum","1/11","19/19518",0.0106588143908409,0.0310882086399527,0.0177646906514016,"DGAT2",1
"GO:0044233","CC","GO:0044233","mitochondria-associated endoplasmic reticulum membrane","1/11","21/19518",0.0117747651889302,0.0317012908932735,0.0181150233675849,"ACSL4",1
"GO:0042552","BP","GO:0042552","myelination","2/11","144/18614",0.00312263875457046,0.0322399737347513,0.0171621737061439,"PTEN/DEGS1",2
"GO:0007272","BP","GO:0007272","ensheathment of neurons","2/11","146/18614",0.00320821924603561,0.0322399737347513,0.0171621737061439,"PTEN/DEGS1",2
"GO:0008366","BP","GO:0008366","axon ensheathment","2/11","146/18614",0.00320821924603561,0.0322399737347513,0.0171621737061439,"PTEN/DEGS1",2
